#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A963CD
#Date Time: 2022-02-24 14:41:31.894
#Sample rate: 363636Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 200 Hz
#Period: 5 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 ?

Time (s),Channel 1 (V),Channel 2 (V)
-0.021992374698633806,-1.0016828001400824,-1.157100626044474
-0.021989624698633806,-1.0016828001400824,-1.1408894883213025
-0.021986874698633807,-1.0016828001400824,-1.1229896904186423
-0.021984124698633804,-1.0023522186190044,-1.1037389643723488
-0.02198137469863381,-1.0026869278584647,-1.0827995781466238
-0.021978624698633806,-1.0023522186190041,-1.061522459884942
-0.021975874698633806,-1.0020175093795431,-1.0402453416232793
-0.021973124698633807,-1.0020175093795431,-1.0182927592898279
-0.021970374698633804,-1.0020175093795431,-0.9973533730640451
-0.02196762469863381,-1.0020175093795431,-0.9764139868383106
-0.021964874698633806,-1.0020175093795431,-0.9561500646843271
-0.021962124698633807,-1.0023522186190041,-0.9379125347457591
-0.021959374698633807,-1.0030216370979257,-0.9206882009148972
-0.021956624698633805,-1.0030216370979257,-0.9048147952276111
-0.02195387469863381,-1.0023522186190048,-0.8913055137916532
-0.021951124698633806,-1.003021637097926,-0.8794848925351617
-0.021948374698633807,-1.003021637097926,-0.8700283955299783
-0.021945624698633807,-1.0026869278584651,-0.8625982907401947
-0.021942874698633805,-1.0023522186190041,-0.8575323102016991
-0.021940124698633805,-1.0023522186190041,-0.8548304539145049
-0.021937374698633806,-1.0023522186190041,-0.8544927218786056
-0.021934624698633807,-1.0023522186190041,-0.8561813820581027
-0.021931874698633808,-1.0020175093795434,-0.8602341664888936
-0.021929124698633805,-1.0023522186190041,-0.8663133431350883
-0.021926374698633806,-1.002352218619004,-0.8740811799607756
-0.021923624698633806,-1.0020175093795431,-0.883875409001854
-0.021920874698633807,-1.0016828001400826,-0.8950205661865294
-0.021918124698633808,-1.002017509379543,-0.907854383550706
-0.021915374698633805,-1.0016828001400826,-0.9217013970225941
-0.021912624698633806,-1.0023522186190041,-0.9362238745662621
-0.021909874698633806,-1.0023522186190041,-0.9514218161817354
-0.021907124698633807,-1.0026869278584647,-0.9666197577972018
-0.021904374698633808,-1.0016828001400828,-0.9824931634844736
-0.021901624698633805,-1.0013480909006216,-0.9976911050999612
-0.021898874698633806,-1.0016828001400824,-1.0132267787513267
-0.021896124698633807,-1.0013480909006214,-1.0277492562950012
-0.021893374698633804,-1.0016828001400824,-1.0422717338386869
-0.021890624698633808,-1.0016828001400824,-1.0544300871310488
-0.021887874698633805,-1.0010133816611608,-1.0662507083875383
-0.021885124698633806,-1.0016828001400824,-1.0763826694645158
-0.021882374698633807,-1.0020175093795431,-1.0858391664696994
-0.021879624698633804,-1.002352218619004,-1.093607003295391
-0.021876874698633808,-1.0020175093795434,-1.0996861799415723
-0.021874124698633805,-1.0016828001400826,-1.104414428444168
-0.021871374698633806,-1.0020175093795431,-1.1071162847313618
-0.021868624698633807,-1.0010133816611606,-1.1077917488031608
-0.021865874698633804,-1.0010133816611613,-1.107454016767259
-0.021863124698633808,-1.0016828001400817,-1.1050898925159676
-0.021860374698633805,-1.0016828001400826,-1.1017125721569692
-0.021857624698633806,-1.0020175093795431,-1.0966465916184802
-0.021854874698633807,-1.0016828001400826,-1.0895542188645961
-0.021852124698633804,-1.002017509379543,-1.081786382038899
-0.02184937469863381,-1.0016828001400826,-1.0736808131773279
-0.021846624698633806,-1.0016828001400822,-1.0642243161721325
-0.021843874698633806,-1.0013480909006214,-1.0537546230592556
-0.021841124698633807,-1.002017509379543,-1.0426094658745804
-0.021838374698633804,-1.0020175093795434,-1.0314643086898845
-0.02183562469863381,-1.002352218619004,-1.0203191515052246
